Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),micros (),CZL635 (),Degraw (),TAL220 ()
267,1697377428896,2879799.0,665401.0,-695529.0,-944213.0
268,1697377428898,2880834.0,671788.0,-696044.0,-940649.0
269,1697377428898,2881870.0,673897.0,-693895.0,-942669.0
270,1697377428899,2882905.0,672091.0,-697593.0,-939969.0
271,1697377428901,2883941.0,668984.0,-698077.0,-940104.0
272,1697377428902,2884976.0,666798.0,-696091.0,-947172.0
273,1697377428902,2886011.0,664216.0,-696505.0,-943113.0
274,1697377428904,2887047.0,666691.0,-699185.0,-942776.0
275,1697377428906,2888082.0,670002.0,-696195.0,-949886.0
276,1697377428906,2889118.0,664447.0,-697379.0,-950277.0
277,1697377428908,2890153.0,667769.0,-703449.0,-948941.0
278,1697377428908,2891189.0,665758.0,-698746.0,-946941.0
279,1697377428909,2892224.0,666211.0,-704613.0,-949858.0
280,1697377428911,2893259.0,665926.0,-704264.0,-952437.0
281,1697377428911,2894295.0,665471.0,-701503.0,-953812.0
282,1697377428912,2895330.0,665119.0,-699002.0,-946041.0
283,1697377428914,2896365.0,667988.0,-699255.0,-948359.0
284,1697377428914,2897401.0,662605.0,-699368.0,-948724.0
285,1697377428915,2898436.0,664382.0,-692702.0,-942649.0
286,1697377428917,2899471.0,666773.0,-699312.0,-943572.0
287,1697377428917,2900507.0,671990.0,-695366.0,-943701.0
288,1697377428918,2901542.0,670598.0,-699455.0,-944969.0
289,1697377428920,2902577.0,672221.0,-691046.0,-941212.0
290,1697377428920,2903613.0,666376.0,-690764.0,-943639.0
291,1697377428921,2904648.0,671743.0,-696086.0,-943887.0
292,1697377428923,2905684.0,657697.0,-694798.0,-945968.0
293,1697377428923,2906719.0,670151.0,-703092.0,-943378.0
294,1697377428924,2907754.0,662616.0,-696679.0,-948502.0
295,1697377428926,2908790.0,659871.0,-702172.0,-949247.0
296,1697377428926,2909825.0,662757.0,-700302.0,-950845.0
297,1697377428927,2910860.0,662203.0,-697214.0,-949846.0
298,1697377428928,2911896.0,663775.0,-700504.0,-952369.0
299,1697377428930,2912931.0,657520.0,-699829.0,-941291.0
300,1697377428930,2913966.0,664236.0,-699509.0,-951101.0
301,1697377428932,2915002.0,665516.0,-698926.0,-950611.0
302,1697377428932,2916037.0,669569.0,-696488.0,-951998.0
303,1697377428933,2917072.0,672733.0,-697334.0,-947124.0
304,1697377428934,2918107.0,668573.0,-697306.0,-945037.0
305,1697377428935,2919143.0,670390.0,-692885.0,-949821.0
306,1697377428937,2920178.0,665434.0,-695720.0,-942455.0
307,1697377428939,2921213.0,666056.0,-696876.0,-939884.0
308,1697377428939,2922249.0,670483.0,-700721.0,-942973.0
309,1697377428940,2923284.0,671031.0,-698218.0,-938506.0
310,1697377428942,2924319.0,665735.0,-698069.0,-947101.0
311,1697377428942,2925355.0,669220.0,-697081.0,-947056.0
312,1697377428943,2926390.0,664366.0,-696629.0,-942821.0
313,1697377428944,2927425.0,664787.0,-699925.0,-945329.0
314,1697377428946,2928461.0,663966.0,-698032.0,-951365.0
315,1697377428946,2929496.0,659944.0,-702383.0,-947675.0
316,1697377428947,2930532.0,664408.0,-706821.0,-950797.0
317,1697377428947,2931567.0,666871.0,-701899.0,-949894.0
318,1697377428949,2932602.0,661407.0,-698949.0,-953075.0
319,1697377428949,2933637.0,660107.0,-696350.0,-955443.0
320,1697377428951,2934673.0,664998.0,-701424.0,-950578.0
321,1697377428951,2935708.0,669166.0,-697424.0,-943926.0
322,1697377428952,2936743.0,665628.0,-694232.0,-947197.0
323,1697377428954,2937779.0,670193.0,-695520.0,-943802.0
324,1697377428956,2938814.0,664585.0,-692998.0,-948969.0
325,1697377428956,2939849.0,671647.0,-698429.0,-941232.0
326,1697377428957,2940885.0,666331.0,-696572.0,-945827.0
327,1697377428959,2941920.0,672848.0,-694193.0,-943057.0
328,1697377428959,2942955.0,669580.0,-699579.0,-942078.0
329,1697377428961,2943991.0,670320.0,-698406.0,-945020.0
330,1697377428961,2945026.0,672646.0,-693605.0,-945324.0
331,1697377428962,2946061.0,670103.0,-697382.0,-945695.0
332,1697377428964,2947097.0,664692.0,-695453.0,-945881.0
333,1697377428964,2948132.0,665665.0,-697984.0,-950704.0
334,1697377428965,2949167.0,664090.0,-697945.0,-947939.0
335,1697377428967,2950203.0,663530.0,-698611.0,-949363.0
336,1697377428967,2951238.0,660909.0,-701286.0,-952032.0
337,1697377428968,2952273.0,662020.0,-708101.0,-953064.0
338,1697377428970,2953309.0,663288.0,-701176.0,-952769.0
339,1697377428970,2954344.0,664174.0,-699348.0,-947205.0
340,1697377428971,2955379.0,664517.0,-695444.0,-943049.0
341,1697377428973,2956415.0,669262.0,-699326.0,-951008.0
342,1697377428974,2957450.0,668331.0,-700659.0,-943181.0
343,1697377428975,2958485.0,669594.0,-697067.0,-948294.0
344,1697377428976,2959521.0,668438.0,-698153.0,-946280.0
345,1697377428977,2960556.0,668753.0,-699509.0,-946370.0
346,1697377428978,2961591.0,673557.0,-694443.0,-938388.0
347,1697377428978,2962627.0,671326.0,-693805.0,-941974.0
348,1697377428980,2963662.0,669625.0,-693706.0,-943563.0
349,1697377428982,2964697.0,670227.0,-698814.0,-941504.0
350,1697377428982,2965733.0,667957.0,-694559.0,-942042.0
351,1697377428984,2966768.0,672578.0,-694955.0,-948558.0
352,1697377428984,2967803.0,662276.0,-701722.0,-949548.0
353,1697377428985,2968839.0,663868.0,-699964.0,-948395.0
354,1697377428986,2969874.0,663398.0,-700364.0,-947664.0
355,1697377428988,2970909.0,665510.0,-697813.0,-948558.0
356,1697377428988,2971945.0,664183.0,-700839.0,-950372.0
357,1697377428989,2972980.0,658186.0,-706652.0,-956616.0
358,1697377428991,2974015.0,664869.0,-700639.0,-950069.0
359,1697377428991,2975051.0,666753.0,-698710.0,-947385.0
360,1697377428992,2976086.0,668089.0,-698566.0,-950026.0
361,1697377428994,2977121.0,672364.0,-692939.0,-945518.0
362,1697377428994,2978157.0,664863.0,-696072.0,-939406.0
363,1697377428995,2979192.0,665102.0,-694696.0,-942897.0
364,1697377428997,2980227.0,673169.0,-691763.0,-943743.0
365,1697377428997,2981263.0,670623.0,-691158.0,-942565.0
366,1697377428999,2982298.0,667721.0,-693597.0,-945209.0
367,1697377428999,2983333.0,667926.0,-695987.0,-938574.0
368,1697377429001,2984369.0,668084.0,-696803.0,-942396.0
369,1697377429002,2985404.0,666593.0,-695515.0,-941926.0
370,1697377429002,2986439.0,664636.0,-700282.0,-943012.0
371,1697377429003,2987474.0,665730.0,-697728.0,-949208.0
372,1697377429005,2988510.0,661463.0,-700634.0,-948721.0
373,1697377429005,2989545.0,661691.0,-705046.0,-951950.0
374,1697377429007,2990580.0,660133.0,-696536.0,-950932.0
375,1697377429007,2991616.0,664557.0,-702088.0,-950159.0
376,1697377429009,2992651.0,661784.0,-703463.0,-949751.0
377,1697377429011,2993686.0,660867.0,-701941.0,-950954.0
378,1697377429011,2994722.0,667366.0,-697866.0,-945999.0
379,1697377429012,2995757.0,662914.0,-696136.0,-946679.0
380,1697377429014,2996793.0,667482.0,-699146.0,-950254.0
381,1697377429014,2997828.0,667710.0,-697905.0,-942008.0
382,1697377429016,2998863.0,671321.0,-694229.0,-944219.0
383,1697377429016,2999899.0,668809.0,-693467.0,-942179.0
384,1697377429018,3000934.0,668399.0,-694561.0,-944100.0
385,1697377429018,3001969.0,670030.0,-694145.0,-941873.0
386,1697377429020,3003004.0,670795.0,-692435.0,-939989.0
387,1697377429020,3004040.0,669872.0,-695982.0,-939308.0
388,1697377429021,3005075.0,666146.0,-695579.0,-945636.0
389,1697377429023,3006111.0,665491.0,-695411.0,-939716.0
390,1697377429023,3007146.0,664093.0,-697534.0,-948035.0
391,1697377429024,3008181.0,665977.0,-696055.0,-944286.0
392,1697377429025,3009217.0,665302.0,-698800.0,-951374.0
393,1697377429026,3010252.0,663750.0,-698510.0,-951629.0
394,1697377429027,3011288.0,665822.0,-703784.0,-954462.0
395,1697377429028,3012323.0,665479.0,-701908.0,-947639.0
396,1697377429030,3013358.0,658915.0,-698547.0,-949427.0
397,1697377429030,3014393.0,667996.0,-697250.0,-949810.0
398,1697377429032,3015429.0,666967.0,-700411.0,-944162.0
399,1697377429032,3016464.0,670584.0,-697436.0,-943504.0
400,1697377429034,3017499.0,676833.0,-693985.0,-945000.0
401,1697377429034,3018535.0,667378.0,-696499.0,-944888.0
402,1697377429036,3019570.0,668753.0,-694848.0,-939477.0
403,1697377429036,3020605.0,665932.0,-695529.0,-943991.0
404,1697377429038,3021641.0,671594.0,-697073.0,-940329.0
405,1697377429039,3022676.0,670069.0,-695599.0,-944272.0
406,1697377429039,3023711.0,667940.0,-695540.0,-947309.0
407,1697377429041,3024747.0,666556.0,-694395.0,-947785.0
408,1697377429042,3025782.0,665707.0,-696350.0,-943240.0
409,1697377429043,3026817.0,662799.0,-692939.0,-940886.0
410,1697377429044,3027853.0,661547.0,-699779.0,-950277.0
411,1697377429046,3028888.0,664124.0,-699615.0,-949784.0
412,1697377429046,3029923.0,664346.0,-699188.0,-950564.0
413,1697377429047,3030959.0,663294.0,-696952.0,-951253.0
414,1697377429049,3031994.0,662042.0,-701224.0,-955125.0
415,1697377429049,3033029.0,664419.0,-700386.0,-951629.0
416,1697377429050,3034065.0,666177.0,-695681.0,-950800.0
417,1697377429051,3035100.0,663699.0,-700375.0,-948719.0
418,1697377429052,3036135.0,666677.0,-698524.0,-950513.0
419,1697377429053,3037171.0,662737.0,-700150.0,-944002.0
420,1697377429055,3038206.0,671602.0,-695357.0,-947591.0
421,1697377429057,3039242.0,673965.0,-697773.0,-945920.0
422,1697377429057,3040277.0,666796.0,-697652.0,-949748.0
423,1697377429057,3041312.0,670241.0,-694764.0,-943805.0
424,1697377429059,3042348.0,677053.0,-687704.0,-947309.0
425,1697377429060,3043383.0,668461.0,-692674.0,-938951.0
426,1697377429061,3044418.0,668002.0,-696941.0,-943153.0
427,1697377429063,3045454.0,668677.0,-697326.0,-950665.0
428,1697377429063,3046489.0,663398.0,-696859.0,-949509.0
429,1697377429064,3047524.0,670021.0,-694840.0,-948060.0
430,1697377429066,3048560.0,666891.0,-696986.0,-950696.0
431,1697377429066,3049595.0,661272.0,-696856.0,-946190.0
432,1697377429067,3050630.0,669996.0,-702540.0,-950566.0
433,1697377429068,3051666.0,663080.0,-700018.0,-950527.0
434,1697377429069,3052701.0,665746.0,-697368.0,-954473.0
435,1697377429071,3053736.0,665533.0,-701674.0,-947222.0
