Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),micros (),635 (),Degraw (),tal ()
377,1697378865366,8.4797728E8,637950.0,-733091.0,-964386.0
378,1697378865480,8.4809043E8,637688.0,-734115.0,-965259.0
379,1697378865593,8.4820358E8,638181.0,-734292.0,-964740.0
380,1697378865707,8.4831674E8,638343.0,-732892.0,-964373.0
381,1697378865819,8.4842995E8,637109.0,-733517.0,-964711.0
382,1697378865932,8.485431E8,638444.0,-733527.0,-964701.0
383,1697378866047,8.4865626E8,638555.0,-733912.0,-964604.0
384,1697378866159,8.4876947E8,638204.0,-734051.0,-965076.0
385,1697378866273,8.4888262E8,637815.0,-733186.0,-965028.0
386,1697378866385,8.4899578E8,638146.0,-732924.0,-964551.0
387,1697378866499,8.4910893E8,637578.0,-733236.0,-964941.0
388,1697378866612,8.4922208E8,638325.0,-733455.0,-965115.0
389,1697378866724,8.493353E8,638462.0,-733139.0,-964790.0
390,1697378866839,8.4944845E8,638201.0,-733522.0,-964645.0
391,1697378866952,8.495616E8,638795.0,-733184.0,-965140.0
392,1697378867065,8.4967482E8,638122.0,-733184.0,-964212.0
393,1697378867178,8.4978797E8,637970.0,-733805.0,-965055.0
394,1697378867290,8.4990112E8,638410.0,-733444.0,-965217.0
395,1697378867404,8.5001427E8,637787.0,-733560.0,-964522.0
396,1697378867517,8.5012742E8,638097.0,-733454.0,-965194.0
397,1697378867630,8.5024064E8,638061.0,-733700.0,-964704.0
398,1697378867745,8.5035379E8,638162.0,-733661.0,-965177.0
399,1697378867856,8.5046694E8,637642.0,-733445.0,-964933.0
400,1697378867970,8.505801E8,638494.0,-733468.0,-965164.0
401,1697378868083,8.5069325E8,637695.0,-733359.0,-964979.0
402,1697378868195,8.5080646E8,637981.0,-733777.0,-965235.0
403,1697378868309,8.5091962E8,638708.0,-733233.0,-964748.0
404,1697378868422,8.5103277E8,637829.0,-733306.0,-964497.0
405,1697378868536,8.5114592E8,638243.0,-733619.0,-965127.0
406,1697378868648,8.5125914E8,637997.0,-733692.0,-964797.0
407,1697378868762,8.5137229E8,638412.0,-733205.0,-964518.0
408,1697378868874,8.5148544E8,637826.0,-733441.0,-965209.0
409,1697378868988,8.5159859E8,638390.0,-733019.0,-964869.0
410,1697378869101,8.5171174E8,637638.0,-733698.0,-964688.0
411,1697378869215,8.518249E8,638350.0,-733628.0,-964704.0
412,1697378869328,8.5193811E8,638132.0,-733097.0,-965073.0
413,1697378869441,8.5205126E8,637859.0,-733721.0,-964531.0
414,1697378869555,8.5216442E8,637892.0,-733632.0,-964911.0
415,1697378869667,8.5227763E8,638351.0,-733591.0,-964584.0
