Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
379,1702665121118,5.3793056E8,131.68152
380,1702665121119,5.3793088E8,131.95851
381,1702665121119,5.3793126E8,133.78358
382,1702665121119,5.3793158E8,130.28362
383,1702665121120,5.379319E8,129.36925
384,1702665121120,5.3793229E8,131.09521
385,1702665121120,5.3793261E8,129.91571
386,1702665121120,5.3793299E8,129.21281
387,1702665121122,5.3793331E8,129.6881
388,1702665121122,5.3793363E8,130.25659
389,1702665121122,5.3793402E8,131.16074
390,1702665121122,5.3793434E8,129.60542
391,1702665121122,5.3793472E8,130.42822
392,1702665121124,5.3793504E8,129.52406
393,1702665121124,5.3793536E8,129.30174
394,1702665121124,5.3793574E8,130.18349
395,1702665121124,5.3793606E8,130.33005
396,1702665121125,5.3793645E8,131.10078
397,1702665121125,5.3793677E8,131.44237
398,1702665121125,5.3793709E8,131.30829
399,1702665121126,5.3793747E8,131.29976
400,1702665121126,5.3793779E8,130.58664
401,1702665121126,5.3793811E8,131.33401
402,1702665121128,5.379385E8,134.15018
403,1702665121128,5.3793882E8,132.10408
404,1702665121128,5.379392E8,133.29512
405,1702665121128,5.3793952E8,133.92982
406,1702665121128,5.3793984E8,132.76549
407,1702665121128,5.3794022E8,134.3847
408,1702665121129,5.3794054E8,133.21574
409,1702665121129,5.3794093E8,133.93443
410,1702665121129,5.3794125E8,133.11101
411,1702665121130,5.3794157E8,134.17159
412,1702665121130,5.3794195E8,134.77733
413,1702665121130,5.3794227E8,134.00294
414,1702665121132,5.3794266E8,135.6696
415,1702665121132,5.3794298E8,132.51613
416,1702665121132,5.379433E8,135.47131
417,1702665121132,5.3794368E8,135.14987
418,1702665121132,5.37944E8,134.56357
419,1702665121133,5.3794438E8,135.24174
420,1702665121133,5.379447E8,134.92754
421,1702665121133,5.3794502E8,134.55698
422,1702665121133,5.3794541E8,134.48187
423,1702665121133,5.3794573E8,134.18279
424,1702665121134,5.3794611E8,135.11755
425,1702665121134,5.3794643E8,133.51219
426,1702665121134,5.3794675E8,133.35738
427,1702665121135,5.3794714E8,133.0563
428,1702665121135,5.3794746E8,132.5985
429,1702665121135,5.3794784E8,133.06192
430,1702665121136,5.3794816E8,131.94829
431,1702665121136,5.3794848E8,131.6334
432,1702665121138,5.3794886E8,132.38931
433,1702665121138,5.3794918E8,132.33005
434,1702665121138,5.3794957E8,132.68117
435,1702665121138,5.3794989E8,131.50824
436,1702665121138,5.3795021E8,130.39856
437,1702665121138,5.3795059E8,131.61397
438,1702665121140,5.3795091E8,131.31555
439,1702665121140,5.3795123E8,129.67032
440,1702665121140,5.3795162E8,129.63045
441,1702665121140,5.3795194E8,131.10704
442,1702665121140,5.3795232E8,131.77339
443,1702665121140,5.3795264E8,129.98254
444,1702665121141,5.3795296E8,129.86299
445,1702665121141,5.3795334E8,129.84653
446,1702665121141,5.3795366E8,129.28691
447,1702665121143,5.3795405E8,131.12288
448,1702665121143,5.3795437E8,129.62584
449,1702665121143,5.3795469E8,128.84587
450,1702665121143,5.3795507E8,130.19203
451,1702665121144,5.3795539E8,129.0682
452,1702665121144,5.3795578E8,131.12187
453,1702665121144,5.379561E8,129.89462
454,1702665121146,5.3795642E8,131.35179
455,1702665121146,5.379568E8,131.85014
456,1702665121146,5.3795712E8,131.99078
457,1702665121146,5.379575E8,131.62221
458,1702665121146,5.3795782E8,132.47464
459,1702665121146,5.3795814E8,130.31589
460,1702665121147,5.3795853E8,133.51219
461,1702665121147,5.3795885E8,133.00726
462,1702665121147,5.3795923E8,133.52043
463,1702665121149,5.3795955E8,133.38142
464,1702665121149,5.3795987E8,132.20949
465,1702665121149,5.3796026E8,132.86266
466,1702665121149,5.3796058E8,133.2276
467,1702665121149,5.3796096E8,133.69829
468,1702665121149,5.3796128E8,135.64096
469,1702665121150,5.379616E8,134.31982
470,1702665121150,5.3796198E8,132.68282
471,1702665121151,5.379623E8,134.07544
472,1702665121151,5.3796269E8,135.23517
473,1702665121151,5.3796301E8,134.8172
474,1702665121152,5.3796333E8,133.638
475,1702665121152,5.3796371E8,133.74738
476,1702665121152,5.3796403E8,134.64392
477,1702665121153,5.3796442E8,134.94795
478,1702665121153,5.3796474E8,135.25658
479,1702665121153,5.3796506E8,135.89851
480,1702665121153,5.3796544E8,134.63867
481,1702665121153,5.3796576E8,133.02931
482,1702665121154,5.3796608E8,134.63669
483,1702665121154,5.3796646E8,133.41107
484,1702665121154,5.3796678E8,133.4575
485,1702665121155,5.3796717E8,132.34387
486,1702665121155,5.3796749E8,132.11891
487,1702665121156,5.3796781E8,132.57278
488,1702665121156,5.3796819E8,133.0527
489,1702665121156,5.3796851E8,132.5784
490,1702665121158,5.379689E8,131.5705
491,1702665121158,5.3796922E8,132.2309
492,1702665121158,5.3796954E8,132.17163
493,1702665121158,5.3796992E8,131.51022
494,1702665121158,5.3797024E8,130.99606
495,1702665121158,5.3797062E8,131.75
496,1702665121160,5.3797094E8,130.8294
497,1702665121160,5.3797126E8,129.86497
498,1702665121160,5.3797165E8,130.4384
499,1702665121160,5.3797197E8,129.99179
500,1702665121160,5.3797235E8,132.67818
501,1702665121161,5.3797267E8,132.66339
502,1702665121161,5.3797299E8,130.05568
503,1702665121163,5.3797338E8,129.90582
504,1702665121163,5.379737E8,129.7184
505,1702665121163,5.3797408E8,129.00891
506,1702665121163,5.379744E8,128.84782
507,1702665121163,5.3797472E8,128.15845
508,1702665121163,5.379751E8,129.33237
509,1702665121163,5.3797542E8,129.0748
510,1702665121163,5.3797581E8,129.65088
511,1702665121164,5.3797613E8,131.68346
512,1702665121164,5.3797645E8,131.17853
513,1702665121164,5.3797683E8,131.74277
514,1702665121166,5.3797715E8,130.97368
515,1702665121166,5.3797754E8,130.99045
516,1702665121166,5.3797786E8,131.02834
517,1702665121166,5.3797818E8,131.52504
518,1702665121166,5.3797856E8,130.7385
519,1702665121167,5.3797888E8,132.3959
520,1702665121167,5.3797926E8,132.50955
521,1702665121167,5.3797958E8,132.87483
522,1702665121167,5.379799E8,133.84453
523,1702665121169,5.3798029E8,133.13045
524,1702665121169,5.3798061E8,136.0688
525,1702665121169,5.3798093E8,134.40216
526,1702665121169,5.3798131E8,134.45125
527,1702665121169,5.3798163E8,134.2625
528,1702665121171,5.3798202E8,134.48386
529,1702665121171,5.3798234E8,134.05038
530,1702665121171,5.3798266E8,135.09352
531,1702665121171,5.3798304E8,135.45847
532,1702665121171,5.3798336E8,133.65842
533,1702665121171,5.3798374E8,135.13965
534,1702665121173,5.3798406E8,135.54279
535,1702665121173,5.3798438E8,134.98419
536,1702665121173,5.3798477E8,135.12317
537,1702665121173,5.3798509E8,134.38733
538,1702665121174,5.3798547E8,134.6413
539,1702665121174,5.3798579E8,134.82936
540,1702665121174,5.3798611E8,132.2151
541,1702665121176,5.379865E8,133.55731
542,1702665121176,5.3798682E8,133.04976
543,1702665121176,5.379872E8,133.66864
544,1702665121176,5.3798752E8,133.19432
545,1702665121176,5.3798784E8,132.95915
546,1702665121176,5.3798822E8,132.94038
547,1702665121178,5.3798854E8,131.4786
548,1702665121178,5.3798893E8,133.85374
549,1702665121178,5.3798925E8,133.85112
550,1702665121178,5.3798957E8,131.72498
551,1702665121178,5.3798995E8,131.70454
552,1702665121178,5.3799027E8,132.6097
553,1702665121179,5.3799066E8,129.26186
554,1702665121179,5.3799098E8,129.64066
555,1702665121179,5.379913E8,129.87123
556,1702665121181,5.3799168E8,129.85014
557,1702665121181,5.37992E8,130.65976
558,1702665121181,5.3799238E8,129.44698
559,1702665121181,5.379927E8,130.93776
560,1702665121181,5.3799302E8,130.75067
561,1702665121183,5.3799341E8,130.82281
562,1702665121183,5.3799373E8,129.74344
563,1702665121183,5.3799405E8,129.5896
564,1702665121183,5.3799443E8,128.99606
565,1702665121183,5.3799475E8,128.02504
566,1702665121183,5.3799514E8,129.8676
567,1702665121184,5.3799546E8,129.5896
568,1702665121184,5.3799578E8,128.99509
569,1702665121184,5.3799616E8,130.35408
570,1702665121184,5.3799648E8,130.30107
571,1702665121186,5.3799686E8,130.25858
572,1702665121186,5.3799718E8,132.80795
573,1702665121186,5.379975E8,132.62352
574,1702665121186,5.3799789E8,132.66074
575,1702665121186,5.3799821E8,133.89658
576,1702665121186,5.3799859E8,131.35738
577,1702665121187,5.3799891E8,130.93216
578,1702665121187,5.3799923E8,132.25693
579,1702665121187,5.3799962E8,132.02898
580,1702665121188,5.3799994E8,133.94005
581,1702665121188,5.3800032E8,132.41699
582,1702665121188,5.3800064E8,133.37944
583,1702665121190,5.3800096E8,133.76942
584,1702665121190,5.3800134E8,132.82578
585,1702665121190,5.3800166E8,134.3959
586,1702665121190,5.3800205E8,134.99045
587,1702665121190,5.3800237E8,132.65051
588,1702665121192,5.3800269E8,133.68709
589,1702665121192,5.3800307E8,134.47726
590,1702665121192,5.3800339E8,134.71277
591,1702665121192,5.3800378E8,134.13998
592,1702665121192,5.380041E8,133.72495
